MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,SEX,BYEAR,BMONTH,AGE,EDU,CUEDU,P21,Q2,Q4,Q6_A,Q47,Q48,Q50,Q51,Q52,employment_status
7,Rural,Kilinochchi,22,6,1,4,Male,2007,9.0,15,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
7,Rural,Kilinochchi,22,10,1,3,Female,1998,6.0,25,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Kilinochchi,22,10,1,4,Male,2001,5.0,22,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Kilinochchi,22,10,1,5,Female,2003,3.0,20,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
7,Rural,Kilinochchi,22,10,1,6,Male,2006,10.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
7,Rural,Kilinochchi,23,4,1,2,Male,1999,5.0,24,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Kilinochchi,23,4,1,3,Female,2003,6.0,20,Passed G.C.E.(O/L)/ N.C.G.E. ,Vocational / Technical Institution,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
7,Rural,Kilinochchi,23,8,1,3,Female,2008,6.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
7,Rural,Kilinochchi,24,2,1,3,Male,2000,7.0,23, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,3.0,,,,,Not in Labour Force
7,Rural,Kilinochchi,24,2,1,4,Female,2003,10.0,19,Passed Grade 12,Does not attend,Not studying,2.0,2.0,2.0,3.0,,,,,Not in Labour Force
7,Rural,Kilinochchi,24,10,1,2,Female,1998,9.0,24,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,3.0,,,,,Not in Labour Force
7,Rural,Kilinochchi,24,10,1,3,Female,2001,9.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,3.0,,,,,Not in Labour Force
8,Rural,Kilinochchi,25,8,1,2,Female,2005,10.0,17,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
8,Rural,Kilinochchi,26,7,1,3,Male,2001,3.0,22,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,1.0,2.0,3.0,1.0,,Not in Labour Force
8,Rural,Kilinochchi,27,1,1,3,Female,2002,8.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Other Educational Institution,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
8,Rural,Kilinochchi,27,1,1,4,Male,2006,7.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
8,Rural,Kilinochchi,27,5,1,3,Female,2008,7.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
9,Rural,Kilinochchi,29,7,1,3,Male,2002,9.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,2.0,5.0,1.0,,Not in Labour Force
9,Rural,Kilinochchi,29,7,1,4,Male,2004,5.0,19,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
